id,nev,leiras,ido,adag,kep_url,created_at,updated_at
11,"Tenger gy├╝m├Âlcsei linguine-vel","1. A garn├®lar├íkot, kagyl├│t, tintahalat megtiszt├¡tjuk. 2. Fokhagym├ít ├®s chili pelyhet ol├¡vaolajon megpir├¡tjuk. 3. Hozz├íadjuk a tenger gy├╝m├Âlcseit, feh├®rborral fel├Ântj├╝k. 4. Paradicsomot, bab├®rlevelet hozz├íadunk. 5. A linguine t├®szt├ít megf┼æzz├╝k. 6. A sz├│sszal ├Âsszekeverj├╝k, petrezselyemmel, citromh├®jjal d├¡sz├¡tj├╝k.",30,4,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800,,
12,"Indiai tikka masala csirk├®vel ├®s naan keny├®rrel","1. A csirkemellet joghurtban, garam masal├íban, kurkum├íban, gy├Âmb├®r-fokhagyma paszt├íban p├ícoljuk 2 ├│r├ít. 2. Megpir├¡tjuk. 3. Hagym├ít, fokhagym├ít pir├¡tunk, hozz├íadjuk a madras paszt├ít. 4. Paradicsomot, tejsz├¡nt, csirkealapl├®t ├Ânt├╝nk hozz├í. 5. A csirk├®t hozz├íadjuk, 15 percig f┼æzz├╝k. 6. Basmati rizzsel ├®s naan keny├®rrel t├ílaljuk.",150,4,https://images.unsplash.com/photo-1565557623262-b51c2513a641?w=800,,
13,"Taco salata dar├ílt marhah├║ssal","1. A dar├ílt marhah├║st taco f┼▒szerrel megpir├¡tjuk. 2. Fejessal├ít├ít, kokt├®lparadicsomot, avok├íd├│t, kukoric├ít, fekete babot felkock├ízunk. 3. Tortilla chipset apr├│ra t├Âr├╝nk. 4. Mindet ├Âsszekeverj├╝k reszelt sajttal. 5. Lime-os tejf├Âl├Âs ├Ântettel meglocsoljuk. 6. T├ílal├ískor tortilla chipsszel d├¡sz├¡tj├╝k.",20,3,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=800,,
14,"Risotto gomb├íval ├®s parmez├ínnal","1. A mogyor├│hagym├ít megpir├¡tjuk vajon. 2. Hozz├íadjuk a rizst, megpir├¡tjuk. 3. Feh├®rborral fel├Ântj├╝k. 4. Fokozatosan hozz├íadjuk a forr├│ csirkealapl├®t, folyamatosan keverj├╝k. 5. A gomb├ít k├╝l├Ân megpir├¡tjuk fokhagym├íval. 6. A k├®sz risott├│ba keverj├╝k a gomb├ít, parmez├ínt, vajat. 7. Petrezselyemmel t├ílaljuk.",35,4,https://images.unsplash.com/photo-1476124369491-54c6933d33c9?w=800,,
15,"Barbecue spare ribs s├╝lt kukoric├íval","1. A sert├®sbord├ít megs├│zzuk, borsozzuk, fokhagymaporral besz├│rjuk. 2. Barbecue sz├│sszal bekenj├╝k. 3. Aluf├│li├íba csomagoljuk, 160 fokon 2 ├│r├ít s├╝tj├╝k. 4. Kibontjuk, ├║jra megkenj├╝k sz├│sszal, 200 fokon 20 percig pir├¡tjuk. 5. A kukoric├ít vajjal megkenj├╝k, grillezz├╝k. 6. Coleslaw sal├ít├íval t├ílaljuk.",150,4,https://images.unsplash.com/photo-1544025162-d76694265947?w=800,,
16,"Pad Thai garn├®lar├íkkal","1. A rizst├®szt├ít be├íztatjuk meleg v├¡zbe. 2. Garn├®lar├íkot, toj├íst, tofu-t megpir├¡tunk. 3. A t├®szt├ít hozz├íadjuk. 4. Tamarind paszt├íval, halsz├│sszal, barnacukorral ├¡zes├¡tj├╝k. 5. Hozz├íadjuk a z├Âldhagym├ít, cs├¡rasal├ít├ít, mogyor├│t. 6. Lime-mal, korianderrel, mogyor├│val t├ílaljuk.",25,3,https://images.unsplash.com/photo-1559314809-0d155014e29e?w=800,,
17,"G├Âr├Âg sal├íta feta sajttal ├®s olajbogy├│val","1. Az ubork├ít, paradicsomot, paprik├ít felkock├ízzuk. 2. V├Âr├Âshagym├ít v├®kony szeletekre v├ígjuk. 3. Hozz├íadjuk a fekete olajbogy├│t ├®s a kock├ízott feta sajtot. 4. ├ûntethez ol├¡vaolaajat, citromlevet, oreg├ín├│t, s├│t, borsot kever├╝nk. 5. Az eg├®szet ├Âsszekeverj├╝k. 6. Friss bazsalikommal d├¡sz├¡tj├╝k.",15,4,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=800,,
18,"Spen├│tos-ricott├ís cannelloni paradicsomsz├│sszal","1. A spen├│tot megp├íroljuk, kinyomkodjuk. 2. Ricott├íval, parmez├ínnal, toj├íssal, szerecsendi├│val elkeverj├╝k. 3. A cannelloni t├®szt├íkat megt├Âltj├╝k. 4. Paradicsomsz├│szt k├®sz├¡t├╝nk hagym├íb├│l, fokhagym├íb├│l, kock├ízott paradicsomb├│l, bazsalikomb├│l. 5. A t├®szt├íkat tepsibe rakjuk, le├Ântj├╝k sz├│sszal. 6. Mozzarell├ít sz├│runk r├í, 180 fokon 35 percig s├╝tj├╝k.",60,4,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=800,,
19,"H├║sgomb├│c spagetti paradicsomsz├│szban","1. Dar├ílt marhah├║shoz toj├íst, zsemlemorzs├ít, fokhagym├ít, oreg├ín├│t kever├╝nk. 2. Gomb├│cokat form├ízunk, olajban kis├╝tj├╝k. 3. Paradicsomsz├│szt f┼æz├╝nk hagym├íb├│l, fokhagym├íb├│l, paradicsomb├│l, bazsalikomb├│l. 4. A gomb├│cokat hozz├íadjuk, 15 percig f┼æzz├╝k. 5. A spagettit megf┼æzz├╝k. 6. A h├║sgomb├│cos sz├│sszal t├ílaljuk, parmez├ínnal meghintj├╝k.",45,4,https://images.unsplash.com/photo-1622973536968-3ead9e780960?w=800,,
20,"Marokk├│i kuszkusz s├╝lt z├Âlds├®gekkel","1. A padlizs├ínt, cukkinit, paprik├ít, v├Âr├Âshagym├ít felkock├ízzuk. 2. Ol├¡vaolajon, k├Âm├®nynyel, kurkum├íval, fah├®jjal besz├│rva s├╝t┼æben megs├╝tj├╝k. 3. A kuszkuszt forr├ísban l├®v┼æ z├Âlds├®galapl├®vel fel├Ântj├╝k, 5 perc alatt megdagad. 4. Vill├íval fellaz├¡tjuk, hozz├íkeverj├╝k a s├╝lt z├Âlds├®geket. 5. S├írgabarackal, kesudi├│val, friss ment├íval d├¡sz├¡tj├╝k.",35,4,https://images.unsplash.com/photo-1551183053-bf91a1d81141?w=800,,
21,"Csirke teriyaki s├╝lt z├Âlds├®gekkel ├®s j├ízmin rizzsel","1. Teriyaki sz├│szt k├®sz├¡t├╝nk sz├│jasz├│szb├│l, m├®zb┼æl, gy├Âmb├®rb┼æl, fokhagym├íb├│l. 2. A csirkemellet felkock├ízzuk, a sz├│szban megpir├¡tjuk. 3. Brokkolit, paprik├ít, s├írgar├®p├ít pir├¡tunk. 4. A j├ízmin rizst megf┼æzz├╝k. 5. Mindent ├Âsszekever├╝nk, szez├ímmaggal sz├│rjuk meg.",30,3,https://images.unsplash.com/photo-1617093727343-374698b1b08d?w=800,,
22,"Veg├ín buddha bowl quino├íval","1. A quino├ít megf┼æzz├╝k z├Âlds├®galapl├®ben. 2. ├ëdesburgony├ít, csicseribors├│t kurkum├íval, f├╝st├Âlt paprik├íval s├╝t┼æben megs├╝tj├╝k. 3. Avok├íd├│t, ubork├ít, kokt├®lparadicsomot felszeletel├╝nk. 4. Rukkol├ít, spen├│tot egy t├ílba rakunk. 5. A quino├ít, s├╝lt z├Âlds├®geket, nyers z├Âlds├®geket r├®tegezz├╝k. 6. Tahinis-citromos ├Ântettel meglocsoljuk.",40,2,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=800,,
23,"S├╝lt kacsamell narancsos sz├│sszal","1. A kacsamell b┼ær├®t bekock├ízzuk, megs├│zzuk. 2. B┼ær├Âs oldallal lefel├® hideg serpeny┼æbe tessz├╝k, lassan kis├╝tj├╝k. 3. Megford├¡tjuk, 5 percig s├╝tj├╝k. 4. Narancsos sz├│szt k├®sz├¡t├╝nk narancsl├®b┼æl, m├®zb┼æl, v├Âr├Âsborb├│l. 5. A kacs├ít szeletelj├╝k, a sz├│sszal t├ílaljuk. 6. S├╝lt burgony├íval ├®s z├Âldbabbal k├¡n├íljuk.",35,2,https://images.unsplash.com/photo-1619894991729-f90fccf3579e?w=800,,
24,"Lencse dal indiai m├│dra basmati rizzsel","1. A s├írgalencs├®ket megmossuk. 2. Hagym├ít, fokhagym├ít, gy├Âmb├®rt megpir├¡tunk. 3. Hozz├íadjuk a kurkum├ít, k├Âmm├®nyt, koriandert, chili port. 4. A lencs├®ket hozz├íadjuk, fel├Ântj├╝k v├¡zzel. 5. 25 percig f┼æzz├╝k puh├íra. 6. Paradicsomot, k├│kusztejet hozz├íadunk. 7. Basmati rizzsel, naan keny├®rrel t├ílaljuk.",40,4,https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=800,,
25,"Caprese sal├íta balzsamecettel","1. A mozzarella goly├│kat ├®s a paradicsomot szeletelj├╝k. 2. Felv├íltva r├®tegezz├╝k egy t├ílra. 3. Friss bazsalikom leveleket helyez├╝nk k├Âz├®j├╝k. 4. Meglocsoljuk ol├¡vaolaajjal ├®s balzsamecettel. 5. Megs├│zzuk, borsozzuk. 6. Ropog├│s keny├®rrel t├ílaljuk.",10,2,https://images.unsplash.com/photo-1608897013039-887f21d8c804?w=800,,
