id,nev,created_at,updated_at
220,"Parmezán sajt",,
221,Parmigiano-reggiano,,
222,Petrezselyem,,
223,Mogyoróvaj,,
224,Mogyoróolaj,,
225,Mogyoró,,
226,Borsó,,
227,Pecorino,,
228,"Penne rigate",,
229,Bors,,
230,Fenyőmag,,
231,"Kimagozott fekete olajbogyó",,
232,Étcsokoládé,,
233,"Sima liszt",,
234,"Szilvás paradicsom",,
235,Burgonyakeményítő,,
236,Burgonya,,
237,Garnélarák,,
238,"Leveles tészta",,
239,Málnalekvár,,
240,"Nyers királyrák",,
241,"Pirospaprika pehely",,
242,"Piros chili",,
243,"Piros chili por",,
244,Vöröshagyma,,
245,"Piros paprika",,
246,"Piros paprika pehely",,
247,Vörösbor,,
248,"Újrasütött bab",,
249,Rizs,,
250,Rizstészta,,
251,Rizstészta,,
252,Rizsvermicelli,,
253,Rigatoni,,
254,Rukkola,,
255,Zabpehely,,
256,Sáfrány,,
257,Zsálya,,
258,Szaké,,
259,Salsa,,
260,Só,,
261,"Sós vaj",,
262,Kolbász,,
263,"Tengeri só",,
264,"Önkelő liszt",,
265,"Félzsíros tej",,
266,Szezámmag,,
267,Mogyoróhagyma,,
268,"Reszelt mexikói sajt",,
269,"Reszelt Monterey Jack sajt",,
270,"Apró burgonya",,
271,"Füstölt paprika",,
272,"Füstös paprika",,
273,Tejföl,,
274,Szójaszósz,,
275,Szójatej,,
276,Spagetti,,
277,Spenót,,
278,Zöldhagyma,,
279,Tök,,
280,"Reszelt zöldségek",,
281,Eper,,
282,Cukor,,
283,Mazsola,,
284,Napraforgóolaj,,
285,"Tamarind golyó",,
286,"Tamarind paszta",,
287,"Thai halszósz",,
288,"Thai zöld curry paszta",,
289,"Thai piros curry paszta",,
290,Kakukkfű,,
291,"Paradicsom ketchup",,
292,Paradicsompüré,,
293,Paradicsom,,
294,"Toor dal",,
295,Tonhal,,
296,Kurkuma,,
297,"Kurkuma por",,
298,Fehérrépa,,
299,Vanília,,
300,"Vanília kivonat",,
301,Borjúhús,,
302,"Vegán vaj",,
303,"Növényi olaj",,
304,Zöldségalaplé,,
305,"Zöldségalaplé kocka",,
306,"Vinaigrette öntető",,
307,Szőlőlevél,,
308,Ecet,,
309,Víz,,
310,"Fehér csokoládécseppek",,
311,"Fehér hal",,
312,"Fehér halfilé",,
313,"Fehér ecet",,
314,Fehérbor,,
315,"Teljes tej",,
316,"Teljes kiőrlésű búza",,
317,"Teljes kiőrlésű kenyér",,
318,"Worcester szósz",,
319,Joghurt,,
320,Cukkini,,
321,Perec,,
322,"Tejszínes krémsajt",,
323,Porcukor,,
324,"Karamellás pattogatott kukorica",,
325,Karamella,,
326,Karamellszósz,,
327,Tagliatelle,,
328,Fettuccine,,
329,"Clotted cream",,
330,Kukoricaliszt,,
331,Kagyló,,
332,Fideo,,
333,Ördöghal,,
334,"Vermicelli tészta",,
335,"Bébi tintahal",,
336,Tintahal,,
337,Halalaplé,,
338,Szardínia,,
339,"Fekete olajbogyó",,
340,Hagyma,,
341,Paradicsom,,
342,Kacsa,,
343,Kacsacomb,,
344,"Csirkealaplé kocka",,
345,"Pappardelle tészta",,
346,"Paccheri tészta",,
347,"Linguine tészta",,
348,Cukorborsó,,
349,"Ropogós kenyér",,
350,"Fromage frais",,
351,Kagyló,,
352,Passata,,
353,Repceolaj,,
354,"Stilton sajt",,
355,Báránycomb,,
356,Báránylapocka,,
357,Sárgabarack,,
358,"Muskotály tök",,
359,Kuszkusz,,
360,"Darált marhahús",,
361,"Darált pulyka",,
362,"Barbecue szósz",,
363,Csemegekukorica,,
364,Libazsiradék,,
365,Kacsazsír,,
366,Édeskömény,,
367,"Vörösbor ecet",,
368,"Haricot bab",,
369,Rozmaring,,
370,"Vajas bab",,
371,"Pinto bab",,
372,Paradicsomszósz,,
373,Mascarpone,,
374,Mozzarella,,
375,Ricotta,,
376,"Aszalt sárgabarack",,
377,Kapribogyó,,
378,Banán,,
379,Málna,,
380,Áfonya,,
381,Dió,,
382,Pekándió,,
383,Juharszirup,,
384,"Világos barnacukor",,
385,"Sötét puha barnacukor",,
386,"Étcsokoládé cseppek",,
387,Tejcsokoládé,,
388,Étcsokoládé,,
389,Sütőtök,,
390,"Omlós tészta",,
391,"Mogyoróvajas keksz",,
392,"Zselatin lapok",,
393,Mogyorókr?????,,
394,Őszibarack,,
395,"Sárga paprika",,
396,"Zöld paprika",,
397,Cukkini,,
398,Konzervparadicsom,,
399,Gesztenye,,
400,Vadgomba,,
401,"Szarvasgomba olaj",,
402,Paneer,,
403,"Naan kenyér",,
404,Lencse,,
